,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
36,74.0,코스모신소재,159200.0,1000.0,-0.62%,1000.0,51757.0,32511.0,13.7,110313.0,184.47,7.41,
37,75.0,현대차2우B,142900.0,5200.0,-3.51%,5000.0,51616.0,36121.0,63.44,309240.0,3.28,,
41,76.0,카카오페이,38050.0,1050.0,-2.69%,500.0,51116.0,134338.0,39.7,257073.0,2002.63,0.14,
42,77.0,한국항공우주,52300.0,200.0,+0.38%,5000.0,50979.0,97475.0,28.75,536985.0,22.76,14.81,
43,78.0,SK아이이테크놀로지,71000.0,1900.0,-2.61%,1000.0,50621.0,71298.0,12.26,128459.0,61.63,3.58,
44,79.0,LG이노텍,204500.0,1500.0,-0.73%,5000.0,48399.0,23667.0,22.42,114831.0,8.56,12.59,
45,80.0,삼성엔지니어링,24650.0,550.0,-2.18%,5000.0,48314.0,196000.0,48.3,767755.0,6.41,24.45,
49,81.0,한화솔루션,27750.0,1300.0,-4.48%,5000.0,47700.0,171893.0,23.93,1312548.0,-23.68,-2.48,
50,82.0,미래에셋증권,7980.0,10.0,+0.13%,5000.0,47506.0,595316.0,13.71,427843.0,18.56,2.97,
51,83.0,TIGER KOFR금리액티브(합성),104855.0,20.0,+0.02%,0.0,46490.0,44337.0,0.0,44610.0,,,
52,84.0,SK바이오사이언스,60500.0,1300.0,-2.10%,500.0,46481.0,76828.0,6.64,124175.0,207.9,1.3,
53,85.0,CJ제일제당,304500.0,6500.0,-2.09%,5000.0,45840.0,15054.0,24.35,23639.0,12.92,5.55,
57,86.0,GS,47850.0,50.0,+0.10%,5000.0,44460.0,92915.0,24.2,139777.0,3.48,10.05,
58,87.0,SKC,115000.0,2900.0,-2.46%,5000.0,43549.0,37868.0,14.24,223880.0,-15.81,-17.57,
59,88.0,LG유플러스,9930.0,50.0,-0.50%,5000.0,43356.0,436611.0,37.28,811588.0,6.96,7.49,
60,89.0,엔씨소프트,197400.0,8600.0,-4.17%,500.0,43337.0,21954.0,38.28,99582.0,20.43,6.58,
61,90.0,현대제철,32200.0,450.0,-1.38%,5000.0,42970.0,133446.0,25.09,288671.0,9.32,2.44,
65,91.0,현대로템,38950.0,950.0,+2.50%,5000.0,42511.0,109142.0,17.05,5136650.0,26.41,10.06,
66,92.0,삼성카드,36550.0,200.0,-0.54%,5000.0,42346.0,115859.0,6.75,102354.0,6.95,7.61,
67,93.0,코웨이,56100.0,1100.0,-1.92%,500.0,41402.0,73800.0,61.46,77065.0,8.78,19.03,
68,94.0,한미약품,320500.0,7500.0,-2.29%,2500.0,41059.0,12811.0,17.4,57445.0,28.08,16.01,
69,95.0,현대오토에버,148700.0,2300.0,+1.57%,500.0,40779.0,27424.0,2.21,189608.0,29.6,9.01,
73,96.0,한진칼,60900.0,600.0,-0.98%,2500.0,40658.0,66762.0,21.37,56707.0,10.64,14.79,
74,97.0,LIG넥스원,181700.0,2600.0,+1.45%,5000.0,39974.0,22000.0,19.42,396510.0,22.85,17.61,
75,98.0,금호석유,134300.0,4700.0,-3.38%,5000.0,38340.0,28548.0,22.06,68331.0,9.68,7.77,
76,99.0,NH투자증권,11550.0,270.0,+2.39%,5000.0,38307.0,331666.0,16.97,1287904.0,7.28,7.5,
77,100.0,한국금융지주,67500.0,700.0,+1.05%,5000.0,37615.0,55726.0,40.82,127141.0,5.21,8.45,
1,101.0,오리온,93200.0,2300.0,-2.41%,500.0,36848.0,39536.0,33.12,187966.0,9.78,13.91,
2,102.0,현대건설,32950.0,250.0,-0.75%,5000.0,36692.0,111356.0,24.03,396747.0,6.91,6.77,
3,103.0,CJ,123300.0,5100.0,-3.97%,5000.0,35975.0,29177.0,12.66,331352.0,22.57,3.64,
4,104.0,삼성증권,39150.0,50.0,-0.13%,5000.0,34961.0,89300.0,34.41,168706.0,6.39,8.54,
5,105.0,쌍용C&E,7000.0,0.0,0.00%,100.0,34909.0,498697.0,1.35,232657.0,16.02,13.85,
9,106.0,한화시스템,18470.0,180.0,+0.98%,5000.0,34893.0,188919.0,4.54,2404213.0,9.99,16.87,
10,107.0,현대차우,144700.0,5500.0,-3.66%,5000.0,34892.0,24113.0,67.07,151065.0,3.32,,
11,108.0,강원랜드,16050.0,470.0,-2.85%,500.0,34337.0,213940.0,14.73,860200.0,10.08,9.61,
12,109.0,LS,105500.0,4700.0,-4.26%,5000.0,33971.0,32200.0,15.4,317172.0,7.79,9.63,
13,110.0,한온시스템,5960.0,40.0,+0.68%,100.0,31814.0,533800.0,15.45,1332747.0,62.08,2.21,
17,111.0,키움증권,119600.0,400.0,-0.33%,5000.0,31367.0,26227.0,25.71,47611.0,7.96,9.27,
18,112.0,TIGER 미국나스닥100,110290.0,290.0,-0.26%,0.0,30771.0,27900.0,0.05,120343.0,,,
19,113.0,TIGER 미국S&P500,17705.0,85.0,-0.48%,0.0,30364.0,171500.0,0.0,2679946.0,,,
20,114.0,LS ELECTRIC,97400.0,600.0,-0.61%,5000.0,29220.0,30000.0,15.02,284918.0,14.19,12.61,
21,115.0,KODEX 종합채권(AA-이상)액티브,109770.0,230.0,-0.21%,0.0,29155.0,26560.0,0.0,16330.0,,,
25,116.0,F&F,74600.0,1900.0,-2.48%,100.0,28577.0,38307.0,13.81,163017.0,6.72,38.43,
26,117.0,롯데지주,27200.0,200.0,-0.73%,200.0,28535.0,104909.0,8.5,91660.0,-187.59,-0.22,
27,118.0,현대해상,31000.0,450.0,+1.47%,500.0,27714.0,89400.0,36.37,572599.0,3.77,12.44,
28,119.0,효성중공업,290000.0,2000.0,+0.69%,5000.0,27041.0,9325.0,11.63,59102.0,23.32,11.29,
29,120.0,CJ대한통운,118000.0,1100.0,-0.92%,5000.0,26919.0,22812.0,13.32,59401.0,11.97,6.27,
33,121.0,한미사이언스,38100.0,850.0,+2.28%,500.0,26654.0,69957.0,2.19,425195.0,23.15,15.23,
34,122.0,TIGER 200,38155.0,95.0,+0.25%,0.0,26556.0,69600.0,8.94,1574705.0,,,
35,123.0,이수페타시스,40900.0,500.0,-1.21%,1000.0,25868.0,63246.0,10.68,3401719.0,54.17,19.51,
36,124.0,KODEX 24-12 은행채(AA+이상)액티브,10240.0,5.0,-0.05%,0.0,25271.0,246790.0,0.0,19729.0,,,
37,125.0,한전기술,65300.0,700.0,-1.06%,200.0,24958.0,38220.0,7.4,81349.0,76.46,5.99,
41,126.0,현대미포조선,62400.0,400.0,-0.64%,5000.0,24924.0,39942.0,20.02,228031.0,-17.44,-6.96,
42,127.0,BNK금융지주,7720.0,90.0,-1.15%,5000.0,24865.0,322088.0,36.83,676963.0,3.57,8.43,
43,128.0,한화생명,2860.0,25.0,+0.88%,5000.0,24840.0,868530.0,9.63,1463127.0,3.15,9.05,
44,129.0,아모레G,29900.0,650.0,+2.22%,500.0,24655.0,82458.0,10.12,372384.0,24.05,3.57,
45,130.0,호텔신라,62800.0,100.0,-0.16%,5000.0,24648.0,39248.0,16.15,531550.0,29.22,14.98,
49,131.0,한국가스공사,26400.0,400.0,-1.49%,5000.0,24371.0,92313.0,6.46,221580.0,-3.2,-7.68,
50,132.0,JB금융지주,12430.0,230.0,-1.82%,5000.0,24249.0,195083.0,35.67,368716.0,4.03,13.76,
51,133.0,씨에스윈드,56500.0,600.0,-1.05%,500.0,23827.0,42171.0,13.67,603562.0,119.96,2.24,
52,134.0,두산,144000.0,1000.0,-0.69%,5000.0,23794.0,16524.0,17.44,157399.0,-7.94,-22.74,
53,135.0,TIGER 미국필라델피아반도체나스닥,17810.0,85.0,+0.48%,0.0,23661.0,132850.0,0.26,2819661.0,,,
57,136.0,휠라홀딩스,38700.0,150.0,+0.39%,1000.0,23511.0,60752.0,45.55,77501.0,55.21,2.25,
58,137.0,한솔케미칼,207000.0,4500.0,+2.22%,5000.0,23464.0,11335.0,38.3,134816.0,22.27,13.1,
59,138.0,농심,380000.0,500.0,+0.13%,5000.0,23114.0,6083.0,19.65,37976.0,13.45,7.26,
60,139.0,에스원,60200.0,100.0,-0.17%,500.0,22876.0,37999.0,55.05,32440.0,12.07,12.14,
61,140.0,KCC,255000.0,2500.0,-0.97%,5000.0,22660.0,8886.0,13.77,27389.0,10.66,4.13,
65,141.0,제일기획,19170.0,110.0,-0.57%,200.0,22053.0,115041.0,25.55,213187.0,11.78,14.99,
66,142.0,팬오션,4080.0,60.0,-1.45%,1000.0,21810.0,534570.0,12.96,2126336.0,8.91,5.32,
67,143.0,KODEX 200TR,13105.0,50.0,+0.38%,0.0,21722.0,165750.0,0.0,86726.0,,,
68,144.0,LG화학우,282500.0,7000.0,-2.42%,5000.0,21721.0,7689.0,56.04,24728.0,16.53,,
69,145.0,롯데에너지머티리얼즈,46950.0,1100.0,-2.29%,500.0,21649.0,46111.0,9.31,391448.0,-66.5,-2.25,
73,146.0,GS리테일,20450.0,350.0,-1.68%,1000.0,21415.0,104718.0,7.47,149559.0,121.01,0.44,
74,147.0,TIGER 차이나전기차SOLACTIVE,8090.0,110.0,+1.38%,0.0,21206.0,262120.0,0.48,3593691.0,,,
75,148.0,BGF리테일,121500.0,400.0,-0.33%,1000.0,21000.0,17284.0,28.89,56911.0,10.72,19.23,
76,149.0,KODEX 레버리지,20370.0,130.0,+0.64%,0.0,20920.0,102700.0,1.27,14929429.0,,,
77,150.0,롯데쇼핑,72900.0,1500.0,-2.02%,5000.0,20622.0,28289.0,8.98,43975.0,11.82,1.83,
1,151.0,DB하이텍,46350.0,550.0,-1.17%,5000.0,20579.0,44399.0,24.83,613619.0,7.81,15.65,
2,152.0,TIGER 미국테크TOP10 INDXX,17795.0,0.0,0.00%,0.0,20553.0,115500.0,0.01,1129672.0,,,
3,153.0,대한전선,10830.0,40.0,+0.37%,1000.0,20192.0,186447.0,7.71,8116190.0,21.24,7.83,
4,154.0,한화,26700.0,300.0,-1.11%,5000.0,20014.0,74959.0,16.21,213419.0,6.87,3.52,
5,155.0,에이피알,256500.0,5500.0,+2.19%,500.0,19454.0,7584.0,2.89,164866.0,22.81,54.88,
9,156.0,이마트,67900.0,1200.0,-1.74%,5000.0,18928.0,27876.0,23.81,151916.0,-21.25,-0.79,
10,157.0,한올바이오파마,35800.0,2500.0,-6.53%,500.0,18702.0,52241.0,5.8,1006869.0,534.33,1.98,
11,158.0,영원무역,41200.0,400.0,-0.96%,500.0,18256.0,44311.0,29.2,81623.0,3.54,17.03,
12,159.0,OCI홀딩스,92700.0,1600.0,-1.70%,5000.0,18175.0,19606.0,22.26,55248.0,2.57,18.69,
13,160.0,신세계,178600.0,300.0,+0.17%,5000.0,17583.0,9845.0,19.81,50130.0,7.81,5.41,
17,161.0,동원산업,37750.0,950.0,-2.45%,1000.0,17547.0,46483.0,1.29,43362.0,8.14,8.62,
18,162.0,동서,17390.0,70.0,+0.40%,500.0,17338.0,99700.0,3.9,96888.0,11.97,9.23,
19,163.0,이수스페셜티케미컬,306000.0,13000.0,-4.08%,5000.0,17135.0,5600.0,6.91,192990.0,-183.56,,
20,164.0,금호타이어,5770.0,80.0,-1.37%,5000.0,16575.0,287260.0,6.3,203907.0,10.51,13.2,
21,165.0,HD현대인프라코어,8250.0,110.0,-1.32%,1000.0,16467.0,199603.0,12.9,1738714.0,7.12,13.37,
25,166.0,KODEX 200선물인버스2X,1975.0,12.0,-0.60%,0.0,16272.0,823900.0,2.06,186209294.0,,,
26,167.0,삼양식품,215500.0,2500.0,-1.15%,5000.0,16234.0,7533.0,12.25,52754.0,12.86,24.81,
27,168.0,오뚜기,403000.0,2000.0,-0.49%,5000.0,16152.0,4008.0,10.45,2640.0,10.07,8.55,
28,169.0,한전KPS,35600.0,700.0,-1.93%,200.0,16020.0,45000.0,10.89,146058.0,9.85,13.08,
29,170.0,현대엘리베이,40600.0,800.0,-1.93%,5000.0,15872.0,39092.0,26.52,45887.0,5.05,26.15,
33,171.0,HL만도,33350.0,650.0,-1.91%,1000.0,15660.0,46957.0,25.91,150298.0,11.55,6.18,
34,172.0,한국앤컴퍼니,16450.0,800.0,+5.11%,500.0,15617.0,94935.0,9.69,243526.0,8.34,4.76,
35,173.0,대우건설,3750.0,35.0,-0.92%,5000.0,15586.0,415623.0,10.84,758252.0,3.05,13.19,
36,174.0,현대위아,57200.0,1000.0,-1.72%,5000.0,15556.0,27195.0,15.37,191530.0,17.01,2.73,
37,175.0,효성첨단소재,345000.0,2500.0,-0.72%,5000.0,15456.0,4480.0,10.49,17400.0,43.47,5.13,
41,176.0,덴티움,137000.0,4000.0,-2.84%,500.0,15164.0,11069.0,18.89,47751.0,15.71,23.02,
42,177.0,TCC스틸,57600.0,1000.0,-1.71%,1000.0,15099.0,26214.0,6.5,225005.0,-193.29,-3.57,
